"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 13, 2018","22,597.35","22,397.62","22,692.86","22,316.52","748.16M","1.85%"
"Jul 12, 2018","22,187.96","22,036.87","22,233.52","22,019.19","663.58M","1.17%"
"Jul 11, 2018","21,932.21","22,002.14","22,044.62","21,744.25","771.89M","-1.19%"
"Jul 10, 2018","22,196.89","22,215.34","22,321.60","22,196.89","934.95M","0.66%"
"Jul 09, 2018","22,052.18","21,838.53","22,105.95","21,825.76","630.77M","1.21%"
"Jul 06, 2018","21,788.14","21,647.66","21,866.16","21,642.96","738.44M","1.12%"
"Jul 05, 2018","21,546.99","21,697.44","21,751.50","21,462.95","688.37M","-0.78%"
"Jul 04, 2018","21,717.04","21,679.00","21,784.00","21,604.18","640.87M","-0.31%"
"Jul 03, 2018","21,785.54","21,889.06","21,927.81","21,574.56","788.80M","-0.12%"
"Jul 02, 2018","21,811.93","22,233.80","22,312.25","21,784.48","692.50M","-2.21%"
"Jun 29, 2018","22,304.51","22,314.47","22,332.82","22,145.48","699.80M","0.15%"
"Jun 28, 2018","22,270.39","22,195.19","22,299.39","22,038.40","721.98M","-0.01%"
"Jun 27, 2018","22,271.77","22,320.88","22,356.54","22,205.34","677.77M","-0.31%"
"Jun 26, 2018","22,342.00","22,160.33","22,368.78","22,104.12","735.17M","0.02%"
"Jun 25, 2018","22,338.15","22,543.56","22,556.55","22,312.79","625.48M","-0.79%"
"Jun 22, 2018","22,516.83","22,456.45","22,535.65","22,414.18","886.10M","-0.78%"
"Jun 21, 2018","22,693.04","22,523.28","22,782.01","22,491.08","783.00M","0.61%"
"Jun 20, 2018","22,555.43","22,338.53","22,581.40","22,167.16","917.02M","1.24%"
"Jun 19, 2018","22,278.48","22,565.92","22,618.52","22,278.48","818.90M","-1.77%"
"Jun 18, 2018","22,680.33","22,806.57","22,806.89","22,601.13","669.85M","-0.75%"
"Jun 15, 2018","22,851.75","22,883.24","22,885.84","22,770.38","912.37M","0.50%"
"Jun 14, 2018","22,738.61","22,842.96","22,898.39","22,738.61","742.71M","-0.99%"
"Jun 13, 2018","22,966.38","22,896.17","22,993.26","22,895.31","587.74M","0.38%"
"Jun 12, 2018","22,878.35","22,977.22","23,011.57","22,797.73","659.02M","0.33%"
"Jun 11, 2018","22,804.04","22,686.95","22,856.08","22,667.30","573.98M","0.48%"
"Jun 08, 2018","22,694.50","22,799.38","22,879.00","22,694.50","877.58M","-0.56%"
"Jun 07, 2018","22,823.26","22,748.72","22,856.37","22,732.18","743.58M","0.87%"
"Jun 06, 2018","22,625.73","22,520.31","22,662.82","22,498.59","700.13M","0.38%"
"Jun 05, 2018","22,539.54","22,552.17","22,602.13","22,470.04","678.02M","0.28%"
"Jun 04, 2018","22,475.94","22,365.09","22,515.72","22,355.83","741.23M","1.37%"
"Jun 01, 2018","22,171.35","22,126.25","22,316.91","22,098.04","850.36M","-0.14%"
"May 31, 2018","22,201.82","22,163.40","22,254.42","22,098.00","1.37B","0.83%"
"May 30, 2018","22,018.52","22,051.97","22,079.23","21,931.65","933.23M","-1.52%"
"May 29, 2018","22,358.43","22,431.95","22,439.10","22,240.39","616.42M","-0.55%"
"May 28, 2018","22,481.09","22,488.95","22,547.67","22,410.91","545.11M","0.13%"
"May 25, 2018","22,450.79","22,380.22","22,509.36","22,318.15","725.57M","0.06%"
"May 24, 2018","22,437.01","22,621.29","22,644.69","22,366.60","881.97M","-1.11%"
"May 23, 2018","22,689.74","22,868.79","22,949.73","22,649.85","773.14M","-1.18%"
"May 22, 2018","22,960.34","23,025.95","23,031.67","22,952.87","612.26M","-0.18%"
"May 21, 2018","23,002.37","22,937.58","23,050.39","22,935.31","608.97M","0.31%"
"May 18, 2018","22,930.36","22,907.20","22,954.19","22,867.30","672.85M","0.40%"
"May 17, 2018","22,838.37","22,820.62","22,887.03","22,799.16","779.17M","0.53%"
"May 16, 2018","22,717.23","22,730.12","22,796.14","22,695.84","826.58M","-0.44%"
"May 15, 2018","22,818.02","22,889.47","22,912.06","22,805.72","891.34M","-0.21%"
"May 14, 2018","22,865.86","22,705.30","22,894.76","22,683.64","709.81M","0.47%"
"May 11, 2018","22,758.48","22,573.95","22,769.16","22,545.47","827.48M","1.16%"
"May 10, 2018","22,497.18","22,482.51","22,530.64","22,418.75","755.87M","0.39%"
"May 09, 2018","22,408.88","22,463.01","22,478.64","22,364.75","887.14M","-0.44%"
"May 08, 2018","22,508.69","22,440.65","22,566.68","22,423.23","794.46M","0.18%"
"May 07, 2018","22,467.16","22,513.22","22,513.48","22,350.91","710.78M","-0.03%"
"May 02, 2018","22,472.78","22,568.19","22,568.19","22,426.55","728.58M","-0.16%"
"May 01, 2018","22,508.03","22,453.42","22,519.45","22,411.43","926.77M","0.18%"
"Apr 27, 2018","22,467.87","22,466.66","22,495.56","22,357.53","919.19M","0.66%"
"Apr 26, 2018","22,319.61","22,278.77","22,381.66","22,265.20","750.73M","0.47%"
